product_id,parent_id,level,type,name,path_or_ref,role,linked_capability_ids,linked_function_point_ids,evidence_refs,notes
PBS-001,,subsystem,subsystem,镜像构建与上游资产接入,Dockerfile,构建最终 runtime image,CAP-001,FP-001;FP-002;FP-003,EVD-001;EVD-002;EVD-003,
PBS-001-01,PBS-001,module,module,web-builder,Dockerfile:27-32,校验并复制官方 Dify Web 产物,CAP-001,FP-001,EVD-001,
PBS-001-02,PBS-001,module,module,api-image,Dockerfile:37-42,校验并复制官方 Dify API 与 `.venv`,CAP-001,FP-001,EVD-001,
PBS-001-03,PBS-001,component,integration,plugin-daemon-image + sandbox-image,Dockerfile:48-49,引入 plugin 和 sandbox 官方运行资产,CAP-001;CAP-004,FP-001;FP-014;FP-015,EVD-001;EVD-014;EVD-015,
PBS-001-04,PBS-001,component,deployment_artifact,final runtime image,Dockerfile:55-195,最终对外可构建镜像,CAP-001,FP-002;FP-003,EVD-002;EVD-003,
PBS-002,,subsystem,subsystem,启动初始化与环境合同,docker/,准备 env secret DB storage migration,CAP-002;CAP-004,FP-004;FP-005;FP-006;FP-007;FP-008;FP-014;FP-015,EVD-004;EVD-005;EVD-006;EVD-007;EVD-008;EVD-014;EVD-015,
PBS-002-01,PBS-002,module,module,runtime defaults,docker/dify.env.runtime,所有服务默认 env source,CAP-002;CAP-004,FP-004;FP-015,EVD-004;EVD-015,
PBS-002-02,PBS-002,module,module,entrypoint bootstrap,docker/entrypoint.sh,目录 secret PostgreSQL migration 初始化,CAP-002,FP-004;FP-005;FP-006;FP-007;FP-008,EVD-004;EVD-005;EVD-006;EVD-007;EVD-008,
PBS-002-03,PBS-002,component,component,plugin env wrapper,docker/with-plugin-env,把 repo env 转换为 plugin-daemon contract,CAP-004,FP-014,EVD-014,
PBS-002-04,PBS-002,component,component,sandbox env wrapper,docker/with-sandbox-env,设置 Sandbox runtime 并清理 rootless 残留,CAP-004,FP-015,EVD-015,
PBS-002-05,PBS-002,component,runtime_artifact,generated secrets file,/data/config/generated.env,持久化 runtime 内部 secret,CAP-002,FP-004,EVD-004,bucket-lite 下会落到 `/persist/config`
PBS-002-06,PBS-002,component,runtime_artifact,postgres backup dump,/persist/postgres-backups/latest.sql.gz,PGDATA 失败时的普通文件兜底备份,CAP-002,FP-007,EVD-007,
PBS-003,,subsystem,subsystem,进程与网络平面,docker/supervisord.conf + docker/nginx.conf,编排长期进程并暴露单端口路由,CAP-003,FP-009;FP-010;FP-011;FP-012;FP-013,EVD-009;EVD-010;EVD-011;EVD-012;EVD-013,
PBS-003-01,PBS-003,module,module,supervisor process graph,docker/supervisord.conf,长期进程图与日志输出,CAP-003,FP-009,EVD-009,
PBS-003-02,PBS-003,component,component,wait-for-core,docker/wait-for-core,依赖等待契约,CAP-003,FP-010,EVD-010,
PBS-003-03,PBS-003,module,module,public reverse proxy,docker/nginx.conf,对外 `7860` 路由与 header contract,CAP-003;CAP-006,FP-011;FP-012;FP-013;FP-023,EVD-011;EVD-012;EVD-013;EVD-023,
PBS-003-04,PBS-003,component,test_artifact,healthcheck script,docker/healthcheck.sh,容器健康检查入口,CAP-001;CAP-003;CAP-007,FP-003;FP-011;FP-024,EVD-003;EVD-024,
PBS-004,,subsystem,subsystem,Operator surface,docker/ops_service.py + docker/admin_service.py + docker/webssh_entrypoint.sh,交付只读诊断与默认关闭管理面,CAP-005;CAP-006,FP-016;FP-017;FP-018;FP-019;FP-020;FP-021;FP-022;FP-023,EVD-016;EVD-017;EVD-018;EVD-019;EVD-020;EVD-021;EVD-022;EVD-023,
PBS-004-01,PBS-004,module,module,ops-service,docker/ops_service.py,只读 health status metrics logs errors surface,CAP-005,FP-016;FP-017;FP-018;FP-019,EVD-016;EVD-017;EVD-018;EVD-019,
PBS-004-02,PBS-004,module,module,admin-service,docker/admin_service.py,token/cookie/csrf 管控的受控管理面,CAP-006,FP-020;FP-021;FP-022,EVD-020;EVD-021;EVD-022,
PBS-004-03,PBS-004,component,runtime_artifact,admin audit log,/data/logs/admin-audit.jsonl,记录 admin action 与文件写操作,CAP-006,FP-021;FP-022,EVD-021;EVD-022,
PBS-004-04,PBS-004,component,deployment_artifact,web terminal placeholder,docker/webssh_entrypoint.sh,terminal 未启用或缺少 `ttyd` 时的占位入口,CAP-006,FP-023,EVD-023,
PBS-005,,subsystem,subsystem,本地验证与文档,scripts/ + docs/,为 maintainer 提供 build run smoke deploy runbook,CAP-007,FP-024,EVD-024,
PBS-005-01,PBS-005,module,module,build wrapper,scripts/build.sh,统一本地 build 命令,CAP-007,FP-024,EVD-024,
PBS-005-02,PBS-005,module,module,run wrapper,scripts/run-demo.sh,统一本地 run contract,CAP-007,FP-024,EVD-024,
PBS-005-03,PBS-005,module,module,smoke script,scripts/hf-space-smoke.sh,检查 public ops admin contract,CAP-003;CAP-005;CAP-006;CAP-007,FP-013;FP-016;FP-020;FP-024,EVD-013;EVD-016;EVD-020;EVD-024,
PBS-005-04,PBS-005,component,documentation,docs pack,docs/,项目/配置/部署/排障/安全的人类入口,CAP-007,FP-024,EVD-024,
PBS-005-05,PBS-005,component,integration,Hugging Face runtime contract,README.md + docs/deployment.md,Space metadata 与 runtime SHA 回读流程,CAP-007,FP-024,EVD-024,
