id,parent_id,level,type,name,description,status_tags,maturity,evidence_refs,source_refs,notes
CAP-000,,L0,project_goal,HF single-container Dify demo bundle,在 Hugging Face Docker Space 上用单容器交付 Dify demo 与最小运维边界,specified;implemented,M4,EVD-001,README.md:14-16;README.md:32-44,研究基线目标
CAP-001,CAP-000,L1,capability_domain,镜像组装与官方资产复用,通过 Docker multi-stage 复用官方 Dify 资产并产出最终镜像,specified;implemented;blocked,M4,EVD-001;EVD-002,Dockerfile:17-22;Dockerfile:27-49;Dockerfile:80-108,缺 build 证据
CAP-001-01,CAP-001,L2,capability_module,构建阶段与 runtime image 组装,定义上游 image intake 与 runtime image assembly,specified;implemented,M4,EVD-001;EVD-003,Dockerfile:27-49;Dockerfile:141-195,
FP-001,CAP-001-01,L3,function_point,复用官方 Dify Web/API/Plugin/Sandbox 镜像资产,避免在仓库里维护大规模上游源码,specified;implemented,M4,EVD-001,Dockerfile:27-49;Dockerfile:121-139,
FP-002,CAP-001-01,L3,function_point,安装 runtime 依赖并创建 rootless user,提供 HF 兼容的运行时基础,specified;implemented,M4,EVD-002,Dockerfile:80-115,
FP-003,CAP-001-01,L3,function_point,暴露单镜像 entrypoint 与 healthcheck contract,让镜像具备统一启动与存活探针,specified;implemented,M4,EVD-003,Dockerfile:141-155;Dockerfile:190-195,
SPEC-001,FP-001,L4,spec_candidate,构建与升级验证合同,为镜像重建与版本升级补固定 acceptance contract,planned,M2,EVD-030,Dockerfile:17-22;docs/deployment.md:148-166,关联 FP-001 到 FP-003
CAP-002,CAP-000,L1,capability_domain,启动初始化与持久化编排,在 rootless 容器内准备 env secret DB storage 和 migration,specified;implemented;blocked,M4,EVD-004;EVD-005,docker/entrypoint.sh:21-33;docker/entrypoint.sh:171-211;docker/entrypoint.sh:561-658,
CAP-002-01,CAP-002,L2,capability_module,env 合成与 generated secrets,保持外部 env 优先并派生 runtime URL 与内部 key,specified;implemented,M4,EVD-004,docker/entrypoint.sh:35-74;docker/dify.env.runtime:34-58,
FP-004,CAP-002-01,L3,function_point,生成或复用 generated secrets 并保持外部 env 优先,让 runtime secret 生命周期可跨重启延续,specified;implemented,M4,EVD-004,docker/entrypoint.sh:35-74;docker/dify.env.runtime:34-58,
