function_point_id,capability_id,module_id,name,actor_or_trigger,input,output,status_tags,spec_candidate_ids,evidence_refs,blocker_ids,next_action,confidence,source_refs
FP-001,CAP-001,CAP-001-01,复用官方 Dify 资产,Docker build,DIFY image args,最终 runtime image,specified;implemented,SPEC-001,EVD-001,,补 build 证据,high,Dockerfile:27-49;Dockerfile:121-139
FP-002,CAP-001,CAP-001-01,runtime 依赖与 rootless user,Docker build,APT sources;Python base image,可运行的 HF 兼容 runtime,specified;implemented,SPEC-001,EVD-002,,形成升级清单,high,Dockerfile:80-115
FP-003,CAP-001,CAP-001-01,entrypoint 与 healthcheck 合同,container start,entrypoint scripts;healthcheck path,统一镜像启动 contract,specified;implemented,SPEC-001,EVD-003,,把健康检查结果纳入 smoke,high,Dockerfile:141-155;Dockerfile:190-195
FP-004,CAP-002,CAP-002-01,generated secrets 与 URL/env precedence,entrypoint start,外部 env;existing generated.env,可复用 secret 与派生 URL,specified;implemented,,EVD-004,,记录运行态样本,high,docker/entrypoint.sh:35-74;docker/dify.env.runtime:34-58
FP-005,CAP-002,CAP-002-02,bucket-lite 路径映射,entrypoint prepare_dirs,PERSIST_MODE;PERSIST_ROOT;RUNTIME_ROOT,稳定的 `/data` runtime 视图,specified;implemented,,EVD-005,,验证 bucket 模式首启,high,docker/entrypoint.sh:112-141;docker/entrypoint.sh:171-211
FP-006,CAP-002,CAP-002-02,PostgreSQL init 与 vector extension,entrypoint init_postgres,DB_* vars,主库和 plugin 库可用,specified;implemented,,EVD-006,,保存 init/migration 日志,high,docker/entrypoint.sh:76-83;docker/entrypoint.sh:561-630
FP-007,CAP-002,CAP-002-02,PGDATA fallback 与 dump restore,PostgreSQL live data 失败,POSTGRES_BUCKET_FAILURE_MODE;latest.sql.gz,回退或恢复后的 PostgreSQL,specified;implemented;blocked,SPEC-002,EVD-007,BLK-004,明确 fallback 默认值,medium-high,docker/entrypoint.sh:499-555;docker/entrypoint.sh:580-601
FP-008,CAP-002,CAP-002-02,Redis Sandbox config 与 Dify migration,entrypoint main,REDIS_*;SANDBOX_*;MIGRATION_ENABLED,长期运行前的就绪状态,specified;implemented,,EVD-008,,增加 migration smoke,high,docker/entrypoint.sh:263-279;docker/entrypoint.sh:319-362;docker/entrypoint.sh:632-658
FP-009,CAP-003,CAP-003-01,Supervisor 长期进程编排,supervisord start,supervisord.conf,固定进程图与日志出口,specified;implemented,,EVD-009,,取得 supervisor 运行证据,high,docker/supervisord.conf:17-156
FP-010,CAP-003,CAP-003-01,wait-for-core 依赖等待,service startup,postgres;redis;api,延迟启动直到依赖 ready,specified;implemented,,EVD-010,,补 readiness 失败样本,high,docker/wait-for-core:16-49
FP-011,CAP-003,CAP-003-02,单端口 path routing,external request,request path;headers,转发到正确 upstream,specified;implemented,SPEC-003,EVD-011,BLK-003,对齐端口与 body size 合同,high,docker/nginx.conf:46-157
FP-012,CAP-003,CAP-003-02,WebSocket 与 plugin hook headers,websocket or hook request,Upgrade headers;hook URL,持久连接和 hook 可用,specified;implemented,,EVD-012,,增加 websocket smoke,high,docker/nginx.conf:86-106;docker/nginx.conf:138-149
FP-013,CAP-003,CAP-003-02,HF iframe CSP override,HF iframe embed,upstream response headers,可被 Hugging Face 页面嵌入,specified;implemented,,EVD-013,,保留 header smoke,high,docker/nginx.conf:55-61;scripts/hf-space-smoke.sh:127-158
FP-014,CAP-004,CAP-004-01,plugin env mapping 与 migration,plugin-daemon startup,DB_*;PLUGIN_*;REDIS_*,plugin daemon ready,specified;implemented,SPEC-004,EVD-014,,增加 plugin install smoke,high,docker/with-plugin-env:14-64;docker/supervisord.conf:47-55
FP-015,CAP-004,CAP-004-02,sandbox no-network 与 rootless prep,sandbox startup,SANDBOX_* vars,更安全的 code execution runtime,specified;implemented,SPEC-004,EVD-015,,增加 code execution smoke,high,docker/with-sandbox-env:14-32;docker/dify.env.runtime:156-179
FP-016,CAP-005,CAP-005-01,`/healthz` 与 `/_ops/health` 聚合,operator or smoke,OPS_DEFAULT_CHECKS_ENABLED;OPS_EXTRA_*,health JSON,specified;implemented,SPEC-005,EVD-016,BLK-002,自动化校验 probe,high,docker/ops_service.py:433-464
FP-017,CAP-005,CAP-005-01,status/system/config/version/metrics dashboard,operator opens `/_ops/`,OPS_TOKEN,可读 dashboard 和 JSON/text outputs,specified;implemented;operable,SPEC-005,EVD-017,BLK-002,保存运行态 JSON 样本,high,docker/ops_service.py:481-493;docker/ops_service.py:608-693;docker/ops_service.py:805-1270
FP-018,CAP-005,CAP-005-02,白名单日志 tail,operator requests `/_ops/logs`,service name;line limit,受限日志内容,specified;implemented,SPEC-005,EVD-018,BLK-002,校验扩展 whitelist 行为,high,docker/ops_service.py:29-46;docker/ops_service.py:721-736
FP-019,CAP-005,CAP-005-02,错误摘要与 benign pattern suppression,operator requests `/_ops/errors`,tail lines;pattern lists,按 service 分组的近期错误摘要,specified;implemented,SPEC-005,EVD-019,BLK-002,准备错误样本回归,high,docker/ops_service.py:106-120;docker/ops_service.py:748-802
FP-020,CAP-006,CAP-006-01,admin auth gate 与 CSRF,admin-enabled request,ADMIN_* vars;cookie;headers,受控 `/_admin` 访问,specified;implemented;changed,,EVD-020,BLK-003,对齐 admin-enabled 叙述,high,docker/admin_service.py:95-152;docker/admin_service.py:954-1013
FP-021,CAP-006,CAP-006-01,白名单动作与审计,operator POST action,service;confirm;csrf,audit-backed action result,specified;implemented,,EVD-021,BLK-002,增加 admin-enabled smoke,high,docker/admin_service.py:247-347;docker/admin_service.py:278-295;docker/admin_service.py:1110-1115
FP-022,CAP-006,CAP-006-02,file manager root confinement,admin file request,path;ADMIN_FILES_ROOT,受限文件浏览与写入,specified;implemented,,EVD-022,BLK-003,明确 write 策略,high,docker/admin_service.py:350-587
FP-023,CAP-006,CAP-006-02,terminal placeholder / optional ttyd,operator accesses `/_admin/terminal/`,WEBSSH_* vars,404 or 503 placeholder or real ttyd,specified;implemented;blocked,SPEC-006,EVD-023,BLK-001,做 terminal fate 决策,high,docker/webssh_entrypoint.sh:47-60;docker/nginx.conf:86-106
FP-024,CAP-007,CAP-007-01,build run smoke 与 runtime SHA 回读,maintainer release loop,base URL;OPS_TOKEN;ADMIN_TOKEN,部署验证 evidence chain,specified;implemented;blocked,SPEC-007,EVD-024,BLK-004,保存一次完整发布证据链,high,scripts/build.sh:1-4;scripts/run-demo.sh:1-18;scripts/hf-space-smoke.sh:4-177;docs/deployment.md:27-119
